10		1		0.10344828		37.482758		-5.551724
10		2		0.20689656		25.51724		-6.137931
10		4		0.2413793		19.965517		-6.37931
6		1		0.5862069		13.172414		-5.586207
6		2		0.31034482		8.620689		-6.862069
6		4		0.51724136		5.5172415		-8.0
7		1		0.1724138		14.931034		-5.2413793
7		2		0.1724138		7.9310346		-6.3448277
7		1		0.1724138		11.379311		-5.137931
7		4		0.44827586		3.9655173		-7.413793
8		1		0.13793103		12.655172		-4.7586207
9		1		0.51724136		15.586206		-5.0
9		1		0.51724136		11.75862		-5.3448277
8		2		0.13793103		8.0		-6.6551723
9		2		0.31034482		7.586207		-6.3448277
8		4		0.3448276		5.862069		-7.448276
9		4		0.5862069		5.3448277		-7.7586207
10		4		0.2413793		21.310345		-6.37931
6		1		0.4827586		14.068966		-5.5172415		0.0066639306
6		1		0.55172414		12.103448		-5.551724		0.008991597
6		1		0.5862069		12.137931		-5.6551723		0.0090992665
10		1		0.10344828		36.827587		-5.551724		6.8658346E-4
10		1		0.10344828		38.827587		-5.551724		14.24138
10		1		0.10344828		38.896553		-5.551724		14.24138
10		2		0.20689656		26.931034		-6.137931		8.344828
10		4		0.2413793		18.586206		-6.37931		6.034483
6		1		0.4827586		12.793103		-5.413793		0.0073553156
6		1		0.51724136		16.793104		-5.551724		14.620689
6		2		0.4827586		8.448276		-6.827586		9.24138
6		4		0.51724136		5.724138		-7.793103		6.137931
7		1		0.2413793		13.75862		-5.034483		13.0
7		2		0.20689656		7.0		-6.172414		8.275862
7		4		0.31034482		5.137931		-6.6551723		5.827586
8		1		0.20689656		11.068966		-4.827586		13.068966
8		2		0.31034482		7.586207		-7.0689654		8.862069
8		4		0.3448276		4.9310346		-7.413793		5.827586
6		1		0.51724136		12.24138		-5.206897		13.965517
