123	25	1	1	0	0	0	78	560	749	0
241	30	0	0	0	0	0	50	675	1649	0
209	32	0	0	0	0	3	50	700	1129	9
142	18	0	0	0	0	2	50	505	499	9
208	25	1	1	0	1	0	50	700	1649	0
123	25	0	1	0	0	2	20	535	579	0
142	25	0	0	0	1	0	35	765	1649	0
208	30	1	0	0	0	0	50	700	749	9
242	30	0	0	0	0	3	78	840	749	0
208	30	1	1	0	0	3	50	840	5219	0
209	25	1	1	0	1	0	50	475	2149	0
162	25	0	1	0	1	1	50	475	499	9
162	25	0	1	0	0	3	20	445	499	9
208	25	0	0	0	0	1	30	530	581	9
123	25	0	0	0	0	1	50	530	579	7
363	25	1	0	0	0	3	78	475	1129	0
61	18	1	1	1	1	0	20	445	189	0
162	25	1	0	0	0	3	30	505	469	9
363	32	0	1	0	1	0	78	445	189	9
102	18	0	0	0	0	4	78	675	749	9
162	25	0	0	0	1	2	78	530	609	0
242	30	0	0	0	1	2	58	700	1649	0
241	30	0	0	0	1	0	78	505	1129	0
241	27	1	1	1	0	0	78	560	1649	0
209	27	0	1	0	1	2	58	850	2329	0
208	27	1	1	1	1	3	78	530	1129	7
208	30	0	1	1	1	3	30	840	2329	0
123	18	1	0	0	0	4	30	460	399	9
208	25	1	0	0	0	3	58	505	499	9
363	32	0	0	1	1	2	58	535	609	9
208	32	0	1	0	0	4	20	765	2149	0
363	27	0	0	0	1	2	78	850	2749	0
363	32	0	1	0	1	0	78	445	1129	0
142	25	0	0	0	1	0	20	535	499	9
162	27	1	0	0	0	2	30	470	400	0
123	18	0	0	0	1	1	20	840	2149	9
208	25	0	0	0	0	1	50	700	669	0
363	32	1	0	0	1	0	78	530	1129	0
142	30	1	1	0	0	2	58	535	499	0
142	30	0	1	1	1	1	35	535	749	6
208	32	0	0	0	0	3	50	560	749	0
208	18	0	0	0	0	0	20	505	1649	9
363	25	0	1	1	0	0	30	505	749	0
243	27	0	0	0	0	3	78	700	3229	0
208	25	1	0	0	0	0	50	530	1129	0
241	30	0	0	0	0	1	58	475	1129	0
208	30	1	1	0	0	0	50	560	499	9
162	30	1	1	0	0	0	58	675	749	7
242	27	0	0	1	1	2	30	505	499	0
142	18	0	0	0	0	1	58	700	749	7
243	25	1	0	0	0	0	50	530	609	9
241	25	1	0	0	0	0	78	560	1129	0
363	18	0	0	0	0	0	50	505	499	0
209	25	1	1	0	0	3	78	840	609	0
123	27	1	1	1	1	0	78	700	1129	7
241	25	1	0	0	1	1	35	530	1649	0
208	25	0	0	0	1	3	78	765	749	9
208	25	0	1	0	0	2	50	560	749	7
241	25	1	1	0	0	3	78	460	1129	0
208	27	0	0	0	0	0	50	700	749	9
209	27	0	1	0	0	2	30	475	499	0
208	27	0	0	0	0	3	20	675	1129	9
208	30	0	0	0	0	1	50	1405	749	9
162	27	0	0	0	0	3	50	505	499	9
241	25	0	0	0	0	3	35	505	749	0
209	30	1	0	1	0	2	30	700	749	9
209	25	1	0	0	0	4	78	700	400	0
